T,TM,Tm,SLP,H,VV,V,VM,PM_2.5
26.2,30.5,22.1,-,77,4.7,7.2,18.3,255.875
26.2,31,21.2,-,81,5.1,8,18.3,217.08333333333334
26.3,31,22,-,76,5,8.1,22.2,229.16666666666666
,,,,,,,,392.2083333333333
,,,,,,,,536.5
,,,,,,,,321.8333333333333
24.2,30,18.2,-,60,4.7,8,22.2,298.4583333333333
25.3,29.5,17.6,-,67,4.3,10.4,25.9,264.9166666666667
25.9,29.3,22.5,-,76,4.3,10.9,20.6,404.5
,,,,,,,,442.6666666666667
,,,,,,,,220.95833333333334
,,,,,,,,251.375
25.7,31.8,21.1,-,83,3.7,8,18.3,188.5
25.7,30.3,20.7,-,81,3.4,7.2,22.2,164.75
26.3,32,21.2,-,74,4.5,6.7,16.5,376.9166666666667
,,,,,,,,362.0
,,,,,,,,235.625
,,,,,,,,0.0
25.1,29.7,19.2,-,64,5.5,9.6,22.2,0.0
25.1,30,20,-,62,4.7,7.8,20.6,0.0
24.7,29.8,19.2,-,66,4.2,9.3,22.2,57.0
,,,,,,,,114.33333333333333
,,,,,,,,148.125
,,,,,,,,184.875
25.7,32,20.6,-,75,4.3,9.1,22.2,202.91666666666666
26,31.8,20.6,-,68,3.7,10.2,22.2,205.125
25.5,31.1,20.1,-,69,3.7,8.9,18.3,214.125
,,,,,,,,202.95833333333334
,,,,,,,,308.875
,,,,,,,,323.875
24.8,31,18.1,-,62,4.8,6.7,20.6,315.7916666666667
24.7,31.2,17.2,-,65,4.8,6.9,14.8,322.25
25.1,32,17.6,-,64,5,7.6,18.3,246.04166666666666
25.2,32.5,17.7,-,59,5.5,8.7,18.3,200.91666666666666
,,,,,,,,187.16666666666666
,,,,,,,,187.79166666666666
,,,,,,,,167.79166666666666
27.7,31.9,22.7,-,79,5.5,9.8,18.3,99.5
27.5,33,23,-,75,5.1,8.1,14.8,143.91666666666666
27.1,33,22,-,76,5.6,8.9,18.3,100.25
,,,,,,,,126.0
,,,,,,,,163.91666666666666
,,,,,,,,152.875
26.8,31.6,21.2,-,75,4,9.4,20.6,165.0
27.9,32,23.4,-,73,5.1,10.9,27.8,116.45833333333333
27.7,32.4,23,-,72,5.1,12,27.8,143.0
,,,,,,,,194.91666666666666
,,,,,,,,130.66666666666666
,,,,,,,,152.375
26.1,31.5,20.5,-,71,5,8.7,22.2,231.125
26.3,31.1,20.4,-,70,5,8,22.2,218.66666666666666
26.1,31.5,20.6,-,71,5.6,9.1,18.3,211.0
,,,,,,,,172.0
,,,,,,,,184.875
,,,,,,,,95.41666666666667
27.1,33,21,-,71,5.8,10.2,24.1,52.208333333333336
27.4,34,21.2,-,64,5.6,9.8,25.9,187.5
27.7,34,21.4,-,65,4.7,9.4,18.3,130.16666666666666
,,,,,,,,68.91666666666667
28.1,35,21.6,-,69,4.3,10.2,18.3,123.125
28.1,35,22,-,59,4.7,9.3,16.5,120.91666666666667
27.9,36,20.3,-,54,5.3,8.1,16.5,153.625
,,,,,,,,119.41666666666667
,,,,,,,,110.75
,,,,,,,,94.29166666666667
27.1,33.1,21,-,64,4.5,7,18.3,130.33333333333334
27.8,33.3,18.6,-,67,5.5,8.5,20.6,110.70833333333333
27.9,33.4,22.3,-,73,4.7,7.8,18.3,138.5
,,,,,,,,39.291666666666664
,,,,,,,,44.916666666666664
,,,,,,,,52.375
29.6,33.4,26,-,74,6.6,11.9,18.3,75.75
29.6,34,24.8,-,75,6.4,10.9,20.6,146.54166666666666
29.8,34,24.4,-,75,7.1,12.8,25.9,116.625
,,,,,,,,163.0
,,,,,,,,162.08333333333334
,,,,,,,,63.458333333333336
28.6,34,23.6,-,68,5.3,8.1,24.1,80.04166666666667
28.8,33.5,23.1,-,72,4.7,10.9,24.1,100.04166666666667
29.7,36,24.1,-,71,5.5,11.1,20.6,109.45833333333333
,,,,,,,,103.08333333333333
,,,,,,,,208.83333333333334
,,,,,,,,74.66666666666667
29.2,35.4,25,-,72,5.1,10.9,22.2,110.16666666666667
29,33.2,24.6,-,71,5.5,9.8,22.2,108.20833333333333
29.8,35,24.4,-,76,6.1,11.1,22.2,103.83333333333333
,,,,,,,,111.5
,,,,,,,,98.58333333333333
,,,,,,,,60.416666666666664
31,37,26.4,-,74,6,13.3,24.1,74.29166666666667
30.7,36.3,27.2,-,79,5.8,14.8,27.8,101.79166666666667
30.6,34.1,26.2,-,75,6.3,13.9,25.9,106.16666666666667
30.6,34,26.7,-,75,6.8,11.5,27.8,89.875
,,,,,,,,71.95833333333333
,,,,,,,,76.41666666666667
,,,,,,,,113.375
30.6,35,26.4,-,71,6.6,12,22.2,48.208333333333336
30.7,34.9,26.2,-,70,6.8,12.4,24.1,47.041666666666664
30.6,35,25.8,-,66,6,11.3,22.2,67.79166666666667
,,,,,,,,65.45833333333333
,,,,,,,,77.75
,,,,,,,,114.45833333333333
31.4,35,28,-,72,6.3,13,25.9,56.666666666666664
31.7,36,27.6,-,71,7.1,14.1,22.2,79.0
31.6,35.7,27.7,-,73,6.8,11.1,27.8,123.58333333333333
,,,,,,,,97.875
,,,,,,,,77.33333333333333
,,,,,,,,48.333333333333336
32.2,37.3,27.4,-,67,6.6,15.4,22.2,80.29166666666667
32.6,38,27.9,-,69,6.4,15.9,25.9,137.875
32.1,38.5,27.8,-,70,6.6,16.7,27.8,87.875
,,,,,,,,61.875
,,,,,,,,82.125
,,,,,,,,139.91666666666666
32.1,37.8,27.1,-,67,6.8,15.9,22.2,121.20833333333333
32.1,37.6,27.4,-,71,6.3,16.7,25.9,97.04166666666667
31.9,37,27.8,-,71,6.8,13.7,24.1,92.08333333333333
,,,,,,,,105.75
,,,,,,,,119.16666666666667
,,,,,,,,121.45833333333333
32.7,39.1,28,-,67,6.1,18.9,25.9,130.625
31.9,39.2,26.8,-,69,6.4,14.6,22.2,90.5
32.3,38.2,28,-,68,6.3,15.2,27.8,55.416666666666664
,,,,,,,,79.29166666666667
,,,,,,,,81.875
,,,,,,,,73.20833333333333
32.7,37,28,-,69,6.3,15.2,25.9,108.33333333333333
33.2,39,29.3,-,65,6.3,18.1,25.9,198.875
32.8,38.2,28.7,-,65,6.8,16.9,27.8,120.70833333333333
,,,,,,,,117.375
,,,,,,,,86.83333333333333
,,,,,,,,88.625
32.6,38.3,28.4,-,67,7.4,16.7,24.1,60.541666666666664
32.4,38.6,28,-,67,6.6,15.6,25.9,79.0
31.7,37.1,28.2,-,70,6.6,11.7,24.1,133.70833333333334
,,,,,,,,87.08333333333333
,,,,,,,,107.91666666666667
,,,,,,,,76.625
32.8,38,28.2,-,68,6.3,16.3,25.9,53.25
32.6,38.6,28.4,-,68,6.8,16.1,24.1,65.16666666666667
32.7,37.1,28.6,-,69,6.4,15.6,27.8,83.58333333333333
,,,,,,,,86.91666666666667
,,,,,,,,65.16666666666667
,,,,,,,,44.291666666666664
31.9,35.6,27.9,-,69,7.2,11.1,20.6,40.666666666666664
32,35.8,27.8,-,70,6.3,13.5,24.1,48.125
32.4,36,28.1,-,67,6.6,13.3,22.2,103.16666666666667
,,,,,,,,119.70833333333333
,,,,,,,,124.25
,,,,,,,,143.04166666666666
33.8,40.6,28.8,-,63,6.1,13.1,24.1,143.375
32.9,39.4,29,-,66,6.1,11.3,22.2,44.791666666666664
31.5,38,27.6,-,65,6,11.3,24.1,71.95833333333333
32.8,39,27.1,-,59,6.1,13.9,20.6,17.5
,,,,,,,,87.08333333333333
,,,,,,,,84.04166666666667
,,,,,,,,85.54166666666667
30.9,40.1,25.3,-,72,5.8,14.1,22.2,101.0
33.3,38,27.5,-,53,6.6,15.2,27.8,76.20833333333333
33,38.4,28.6,-,54,6.8,17.2,25.9,84.33333333333333
,,,,,,,,84.20833333333333
,,,,,,,,83.375
,,,,,,,,55.958333333333336
33.3,38,29,-,58,6.1,15.7,24.1,48.833333333333336
34,39,29.2,-,51,6.4,17,25.9,64.45833333333333
32.2,39.3,26.2,-,63,5,13.9,25.9,80.54166666666667
,,,,,,,,58.083333333333336
,,,,,,,,49.958333333333336
,,,,,,,,101.70833333333333
32.9,39,28.4,-,55,6.4,18,24.1,65.41666666666667
32.7,38.5,28.1,-,58,6.4,15,27.8,54.666666666666664
33.1,40,28.2,-,57,7.1,15.4,24.1,78.54166666666667
,,,,,,,,73.0
,,,,,,,,58.625
,,,,,,,,61.5
32.4,37,27.7,-,57,6.1,15.6,25.9,49.125
31.9,39,26,-,59,5.5,15.6,25.9,65.875
31,35,25.6,-,61,6.3,15.4,22.2,72.41666666666667
,,,,,,,,71.29166666666667
,,,,,,,,74.375
,,,,,,,,107.16666666666667
30.9,36,26.8,-,68,6,11.1,22.2,184.66666666666666
30.8,38,24,-,66,6.1,14.8,27.8,113.33333333333333
30.3,38,23,1006.5,74,6.4,14.3,20.6,146.20833333333334
,,,,,,,,65.375
,,,,,,,,111.04166666666667
,,,,,,,,111.125
31.9,36,29,-,56,6.8,17.6,25.9,112.29166666666667
31.8,34.6,28.6,-,57,6.6,16.1,22.2,60.625
31.6,36,26.4,-,59,6,15.4,25.9,71.0
,,,,,,,,57.041666666666664
,,,,,,,,67.41666666666667
,,,,,,,,132.70833333333334
29.9,36,25,-,69,6.1,14.8,37,153.41666666666666
31.7,36,23.6,-,62,7.2,15.7,25.9,134.95833333333334
31.8,35.6,27.6,-,57,6,15.7,24.1,81.125
,,,,,,,,197.66666666666666
,,,,,,,,160.75
,,,,,,,,29.125
32.9,37.5,28.4,-,54,6.9,18.1,25.9,52.25
32.9,36.9,28.6,-,51,6.9,17.6,25.9,160.375
32.1,35.4,28.8,-,55,6.4,16.3,24.1,99.375
,,,,,,,,123.875
,,,,,,,,131.41666666666666
,,,,,,,,53.875
32.2,38,27,-,62,6.4,16.3,27.8,31.458333333333332
31.4,38.2,26.7,-,66,6.4,14.6,22.2,47.375
31.6,38.2,26,-,65,6.1,12.8,20.6,38.166666666666664
,,,,,,,,42.541666666666664
,,,,,,,,35.791666666666664
,,,,,,,,43.458333333333336
30.7,38.2,25.4,-,64,5.6,16.7,46.5,35.958333333333336
31.7,39.5,23.9,-,62,6,14.1,20.6,25.083333333333332
30.5,37,26.5,-,64,6,14.3,22.2,45.833333333333336
30.6,37.3,25.5,-,69,6.1,13.5,22.2,33.708333333333336
,,,,,,,,31.875
,,,,,,,,69.79166666666667
,,,,,,,,62.916666666666664
30.8,36.6,25.8,-,60,6.4,13.5,22.2,26.416666666666668
30.4,37,24.9,-,67,5.8,14.6,25.9,30.666666666666668
30.6,38,24,-,69,6,13.5,22.2,29.958333333333332
,,,,,,,,47.458333333333336
,,,,,,,,48.916666666666664
,,,,,,,,37.125
29.7,35,25.4,-,68,6,12.4,25.9,23.875
28.2,35,24.7,-,78,4.5,13.5,18.3,22.333333333333332
27.8,35,24.1,-,85,5.1,11.1,22.2,25.083333333333332
,,,,,,,,32.958333333333336
,,,,,,,,31.5
,,,,,,,,56.375
31.8,35.3,27.3,-,59,6.6,13.1,20.6,66.79166666666667
31.8,35.6,27.6,-,58,6,11.5,22.2,64.875
32.2,37,26.9,-,58,6.4,13.5,24.1,47.583333333333336
,,,,,,,,48.291666666666664
,,,,,,,,51.375
,,,,,,,,43.375
30.1,36,25.4,-,68,6,13.3,18.3,33.5
30.8,35.8,25,-,66,6.3,10.9,20.6,43.041666666666664
